Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 0:00,2022,4,1,0:00,3.5,,-2,,67,,,M,27,,32,,,M,97.64,,,,,,NA
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 1:00,2022,4,1,1:00,2.8,,-2.6,,68,,,M,28,,28,,,M,97.66,,,,,,NA
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 2:00,2022,4,1,2:00,2.4,,-2.2,,72,,,M,28,,23,,,M,97.64,,,,,,NA
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 3:00,2022,4,1,3:00,2.2,,-2.2,,73,,,M,28,,22,,,M,97.68,,,,,,NA
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 4:00,2022,4,1,4:00,1.8,,-2,,76,,,M,28,,21,,,M,97.69,,,,,,NA
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 5:00,2022,4,1,5:00,0.6,,-0.9,,90,,,M,27,,15,,,M,97.76,,,,,,NA
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 6:00,2022,4,1,6:00,0.1,,-0.7,,94,,,M,26,,16,,,M,97.81,,,,,,NA
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 7:00,2022,4,1,7:00,0,,-0.6,,96,,,M,26,,10,,,M,97.86,,,,-3,,NA
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 8:00,2022,4,1,8:00,0.6,,-0.5,,93,,,M,26,,23,,,M,97.88,,,,,,NA
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 9:00,2022,4,1,9:00,1,,-0.3,,91,,,M,31,,18,,,M,97.99,,,,,,NA
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 10:00,2022,4,1,10:00,1,,-1.6,,83,,,M,31,,32,,,M,98.1,,,,,,NA
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 11:00,2022,4,1,11:00,1,,-2.2,,79,,,M,30,,30,,,M,98.19,,,,,,NA
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 12:00,2022,4,1,12:00,1.3,,-3.7,,69,,,M,30,,38,,,M,98.28,,,,,,NA
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 13:00,2022,4,1,13:00,1.4,,-4.2,,67,,,M,30,,36,,,M,98.39,,,,,,NA
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 14:00,2022,4,1,14:00,1.3,,-4.5,,65,,,M,31,,42,,,M,98.46,,,,,,NA
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,4/1/2022 15:00,2022,4,1,15:00,1.4,,-3.9,,68,,,M,30,,34,,,M,98.57,,,,,,NA
